round,coordinate,swept_value,new_evaluation,selected,attempt_no,drop,vmult,tp,stop_atr,slippage,n,n_candidates,n_after_overlap,floor_margin,feasible,mean_net,median_net,std_net,se_net,win_rate,mean_r,both_touch_share,tp_boundary_share,mean_hold_bars,distinct_entry_days,max_entries_per_day,days_at_cap,n_outside_window,mean_net_outside_window,trade_hash,by_year_n,share_tp,share_tp_gap,share_stop,share_stop_gap,share_time,control_all_days,control_same_day
1,drop,0.03,True,False,2,0.03,1.5,0.03,1.5,0.001,854,1272,1078,2.2773333333333334,True,-0.0009806959429921951,0.026601509773533927,0.04013641435253039,0.0013734398247036439,0.6346604215456675,0.03693825921527073,0.00117096018735363,0.0,2.1405152224824358,529,5,11,800,-0.0006505263542407895,ad15e6af0fd4,"{""2015"": 80, ""2016"": 161, ""2017"": 150, ""2018"": 194, ""2019"": 138, ""2020"": 127, ""2021"": 4}",0.5292740046838408,0.04332552693208431,0.18618266978922718,0.03395784543325527,0.20725995316159251,-0.004455564638727655,-0.0054978530097588504
1,drop,0.04,True,True,3,0.04,1.5,0.03,1.5,0.001,740,1082,922,1.9733333333333334,True,4.5162446397074354e-05,0.026601509773533927,0.04023269351945367,0.0014789832280860558,0.6486486486486487,0.047176541307194404,0.0013513513513513514,0.0,2.1067567567567567,473,5,11,686,0.00037941374892340755,f017a42a8657,"{""2015"": 73, ""2016"": 139, ""2017"": 123, ""2018"": 172, ""2019"": 114, ""2020"": 116, ""2021"": 3}",0.5432432432432432,0.0445945945945946,0.17567567567567569,0.03513513513513514,0.20135135135135135,-0.004455564638727655,-0.005852806682318307
1,drop,0.05,True,False,1,0.05,1.5,0.03,1.5,0.001,609,889,757,1.624,True,-0.0013436644769194517,0.026601509773533927,0.041784926771900634,0.0016932106797826081,0.6469622331691297,0.016988093303893108,0.0016420361247947454,0.0,2.0689655172413794,398,5,11,556,-0.0011411040923575335,37c6d76f8b3e,"{""2015"": 65, ""2016"": 113, ""2017"": 99, ""2018"": 146, ""2019"": 88, ""2020"": 97, ""2021"": 1}",0.541871921182266,0.041050903119868636,0.17733990147783252,0.041050903119868636,0.1986863711001642,-0.004455564638727655,-0.006133140966153196
1,drop,0.06,True,False,4,0.06,1.5,0.03,1.5,0.001,478,688,591,1.2746666666666666,True,-0.001170654398027103,0.026601509773533927,0.04342355005501639,0.001986146949703615,0.6631799163179917,0.017385314990923672,0.0020920502092050207,0.0,1.903765690376569,315,5,9,428,-0.0008740044532985238,058f288271e2,"{""2015"": 53, ""2016"": 92, ""2017"": 74, ""2018"": 111, ""2019"": 70, ""2020"": 78}",0.5648535564853556,0.043933054393305436,0.1694560669456067,0.04184100418410042,0.1799163179916318,-0.004455564638727655,-0.006753905168091652
1,drop,0.08,True,False,5,0.08,1.5,0.03,1.5,0.001,285,402,353,0.76,False,0.0006357188049315691,0.026601509773533927,0.04677039627832136,0.0027704391747811682,0.7192982456140351,0.056250793868169044,0.0035087719298245615,0.0,1.6210526315789473,192,5,7,238,0.0016277147906854509,d87169d6e60d,"{""2015"": 34, ""2016"": 55, ""2017"": 32, ""2018"": 68, ""2019"": 33, ""2020"": 63}",0.6280701754385964,0.04912280701754386,0.14736842105263157,0.03508771929824561,0.14035087719298245,-0.004455564638727655,-0.006635844462750896
1,vmult,1.0,True,False,6,0.04,1.0,0.03,1.5,0.001,1154,2371,1879,3.0773333333333333,True,-0.0013421589147424246,0.026601509773533927,0.04050970449312226,0.001192493912551848,0.634315424610052,0.03205334868298434,0.0017331022530329288,0.0,2.1481802426343153,683,5,9,1092,-0.0009081715803113274,eb1b9c81cc3b,"{""2015"": 122, ""2016"": 205, ""2017"": 187, ""2018"": 252, ""2019"": 188, ""2020"": 191, ""2021"": 9}",0.5415944540727903,0.03466204506065858,0.18024263431542462,0.02772963604852686,0.21577123050259966,-0.004455564638727655,-0.005207015646418579
1,vmult,1.5,False,True,3,0.04,1.5,0.03,1.5,0.001,740,1082,922,1.9733333333333334,True,4.5162446397074354e-05,0.026601509773533927,0.04023269351945367,0.0014789832280860558,0.6486486486486487,0.047176541307194404,0.0013513513513513514,0.0,2.1067567567567567,473,5,11,686,0.00037941374892340755,f017a42a8657,"{""2015"": 73, ""2016"": 139, ""2017"": 123, ""2018"": 172, ""2019"": 114, ""2020"": 116, ""2021"": 3}",0.5432432432432432,0.0445945945945946,0.17567567567567569,0.03513513513513514,0.20135135135135135,-0.004455564638727655,-0.005852806682318307
1,vmult,2.0,True,False,7,0.04,2.0,0.03,1.5,0.001,405,480,434,1.08,True,-0.00024877216002514664,0.026601509773533927,0.041841859718938126,0.0020791387252567977,0.6444444444444445,0.04877856891447875,0.0,0.0,2.140740740740741,285,5,5,367,8.219819539763134e-05,e5dd47e5b7c5,"{""2015"": 38, ""2016"": 72, ""2017"": 72, ""2018"": 92, ""2019"": 67, ""2020"": 64}",0.5407407407407407,0.04691358024691358,0.15308641975308643,0.04197530864197531,0.21728395061728395,-0.004455564638727655,-0.005167853924521048
1,vmult,3.0,True,False,8,0.04,3.0,0.03,1.5,0.001,138,147,138,0.368,False,-0.001384515890941714,0.026601509773533927,0.04326715858780458,0.003683145131524313,0.6304347826086957,0.05022781706793286,0.0,0.0,2.3840579710144927,120,4,0,126,-0.0002327730079983331,343890e5f347,"{""2015"": 16, ""2016"": 28, ""2017"": 28, ""2018"": 28, ""2019"": 20, ""2020"": 18}",0.5507246376811594,0.028985507246376812,0.10869565217391304,0.050724637681159424,0.2608695652173913,-0.004455564638727655,-0.005670848148569102
1,tp,0.01,True,False,9,0.04,1.5,0.01,1.5,0.001,854,1082,989,2.2773333333333334,True,-0.0034283921292148087,0.00666749987501869,0.024526998055545667,0.0008392965952074766,0.8243559718969555,-0.015502327538935727,0.00468384074941452,0.0,0.6662763466042154,510,5,21,790,-0.0032877619768705495,ab4a78739228,"{""2015"": 88, ""2016"": 161, ""2017"": 143, ""2018"": 203, ""2019"": 126, ""2020"": 130, ""2021"": 3}",0.7997658079625293,0.01639344262295082,0.117096018735363,0.01873536299765808,0.04800936768149883,-0.005299390885499432,-0.005945609100302848
